MHIST_djh.png: shape=(224, 224, 3), red_iqr=67.00, blue_iqr=57.00
MHIST_dis.png: shape=(224, 224, 3), red_iqr=62.00, blue_iqr=56.00
MHIST_atj.png: shape=(224, 224, 3), red_iqr=58.00, blue_iqr=51.00
MHIST_cou.png: shape=(224, 224, 3), red_iqr=60.00, blue_iqr=52.00
MHIST_awq.png: shape=(224, 224, 3), red_iqr=79.00, blue_iqr=64.00
MHIST_cln.png: shape=(224, 224, 3), red_iqr=63.00, blue_iqr=54.00
MHIST_aun.png: shape=(224, 224, 3), red_iqr=55.00, blue_iqr=64.00
MHIST_cnq.png: shape=(224, 224, 3), red_iqr=80.00, blue_iqr=77.00
MHIST_avu.png: shape=(224, 224, 3), red_iqr=84.00, blue_iqr=72.00
MHIST_cmj.png: shape=(224, 224, 3), red_iqr=74.00, blue_iqr=56.00
MHIST_dkl.png: shape=(224, 224, 3), red_iqr=69.00, blue_iqr=60.00
MHIST_dhw.png: shape=(224, 224, 3), red_iqr=49.00, blue_iqr=37.00
MHIST_did.png: shape=(224, 224, 3), red_iqr=93.00, blue_iqr=72.00
MHIST_awf.png: shape=(224, 224, 3), red_iqr=81.00, blue_iqr=71.00
MHIST_cly.png: shape=(224, 224, 3), red_iqr=79.00, blue_iqr=71.00
MHIST_cob.png: shape=(224, 224, 3), red_iqr=72.00, blue_iqr=57.00
MHIST_avb.png: shape=(224, 224, 3), red_iqr=93.00, blue_iqr=75.00
MHIST_auy.png: shape=(224, 224, 3), red_iqr=81.00, blue_iqr=68.00
MHIST_cnf.png: shape=(224, 224, 3), red_iqr=89.00, blue_iqr=78.00
MHIST_dep.png: shape=(224, 224, 3), red_iqr=49.00, blue_iqr=45.00
MHIST_dfk.png: shape=(224, 224, 3), red_iqr=87.25, blue_iqr=75.00
MHIST_axi.png: shape=(224, 224, 3), red_iqr=63.00, blue_iqr=59.00
MHIST_ccv.png: shape=(224, 224, 3), red_iqr=75.00, blue_iqr=59.00
MHIST_azv.png: shape=(224, 224, 3), red_iqr=85.00, blue_iqr=75.00
MHIST_cai.png: shape=(224, 224, 3), red_iqr=74.00, blue_iqr=67.00
MHIST_aym.png: shape=(224, 224, 3), red_iqr=66.00, blue_iqr=61.00
MHIST_cbr.png: shape=(224, 224, 3), red_iqr=85.00, blue_iqr=69.00
MHIST_ddt.png: shape=(224, 224, 3), red_iqr=73.00, blue_iqr=55.00
MHIST_dgo.png: shape=(224, 224, 3), red_iqr=78.00, blue_iqr=69.00
MHIST_deg.png: shape=(224, 224, 3), red_iqr=75.00, blue_iqr=59.00
MHIST_cca.png: shape=(224, 224, 3), red_iqr=69.00, blue_iqr=57.00
MHIST_ayz.png: shape=(224, 224, 3), red_iqr=70.00, blue_iqr=57.00
MHIST_cbe.png: shape=(224, 224, 3), red_iqr=98.00, blue_iqr=81.00
MHIST_aza.png: shape=(224, 224, 3), red_iqr=98.00, blue_iqr=87.00
MHIST_dgx.png: shape=(224, 224, 3), red_iqr=61.00, blue_iqr=55.00
MHIST_ddc.png: shape=(224, 224, 3), red_iqr=90.00, blue_iqr=79.00
MHIST_all.png: shape=(224, 224, 3), red_iqr=58.00, blue_iqr=46.00
MHIST_cws.png: shape=(224, 224, 3), red_iqr=87.00, blue_iqr=75.00
MHIST_aow.png: shape=(224, 224, 3), red_iqr=90.00, blue_iqr=71.00
MHIST_cth.png: shape=(224, 224, 3), red_iqr=70.00, blue_iqr=60.00
MHIST_drn.png: shape=(224, 224, 3), red_iqr=79.00, blue_iqr=64.00
MHIST_dqu.png: shape=(224, 224, 3), red_iqr=86.00, blue_iqr=74.00
MHIST_dsj.png: shape=(224, 224, 3), red_iqr=93.00, blue_iqr=78.00
MHIST_dpq.png: shape=(224, 224, 3), red_iqr=67.00, blue_iqr=58.00
MHIST_amh.png: shape=(224, 224, 3), red_iqr=69.00, blue_iqr=71.00
MHIST_cvw.png: shape=(224, 224, 3), red_iqr=93.00, blue_iqr=80.00
MHIST_ans.png: shape=(224, 224, 3), red_iqr=89.00, blue_iqr=77.00
MHIST_cul.png: shape=(224, 224, 3), red_iqr=67.00, blue_iqr=40.00
MHIST_cwd.png: shape=(224, 224, 3), red_iqr=77.00, blue_iqr=65.00
MHIST_dqb.png: shape=(224, 224, 3), red_iqr=79.00, blue_iqr=66.00
MHIST_dry.png: shape=(224, 224, 3), red_iqr=84.00, blue_iqr=67.00
